date,Midwest,National,Northeast,South,West,date_period
2022-01-01,16.23587457814012,16.843823225338788,21.16233127777042,16.316862970535816,17.252016423534098,All Results
2022-01-08,19.733570197429813,23.705693483863207,22.291833888036898,25.899294254103808,33.37473487795676,All Results
2022-01-15,18.035032513236438,23.650532479389632,28.580094855465855,23.925295715961134,31.822039039743306,All Results
2022-01-22,16.948687583412394,19.464151616342928,24.278390940199497,17.963452988240824,35.7147223912786,All Results
2022-01-29,11.881812339253155,13.728127920850664,13.403670849982298,14.009215897986895,22.64087654516384,All Results
2022-02-05,8.364985972675914,9.177728646963654,9.154445063144792,8.529213229032589,11.36979972980797,All Results
2022-02-12,5.583365205809745,5.996289697795438,6.875762636729977,5.86199923733689,6.6169899090206385,All Results
2022-02-19,4.017602916310168,3.9109744745339867,4.721872547244839,3.8037220393231883,3.6125571083694625,All Results
2022-02-26,2.616565876807136,2.5816523960291224,3.4244122053087143,2.381262399862121,2.2356129716031665,All Results
2022-03-05,1.8520068715829552,1.7570564215061715,2.413702840741707,1.5290296866532564,1.4006695824646844,All Results
2022-03-12,1.7601695918582578,1.4736183011626238,1.5996897797846095,1.2274758558551624,1.065127124656298,All Results
2022-03-19,1.3634828723887826,1.206996837026257,1.3796093332848598,1.0748258635932226,0.8916208933202531,All Results
2022-03-26,1.5003239241835122,1.2596661072056738,3.6866276892497423,1.022256568571089,0.9051943461198892,All Results
2022-04-02,1.2316667515426423,1.2453132965001892,4.531248281159188,1.1290722848799442,1.0697633013188024,All Results
2022-04-09,1.4886774127172715,1.5675870483403727,6.267133922812533,1.4700723761077783,1.295587981727566,All Results
2022-04-16,2.1005159966801794,2.104660801346302,5.225776156167477,1.9262807784606053,1.8822850282826071,All Results
2022-04-23,2.8940821631548914,3.148471298736332,7.544533584664063,2.8996697023008897,2.9684371338974187,All Results
2022-04-30,4.293142656772163,3.911413791497076,9.198803989679016,3.1400657520073483,2.6098469754859437,All Results
2022-05-07,5.195443161774301,4.942884814630867,9.017534274787259,3.9641626999998043,3.9965231960621947,All Results
2022-05-14,6.505188768574751,5.777562843682242,5.775773654584254,4.879189803756914,5.219059012957839,All Results
2022-05-21,6.969555320921522,6.680195048570809,7.281913030231275,6.280308691460824,5.96126724881317,All Results
2022-05-28,7.265761119034902,7.108935382268134,6.617413716863831,6.8822237782030875,8.189266428483945,All Results
2022-06-04,6.882122310131369,7.22381681214419,4.419682899139588,6.90168121418197,9.74928862384909,All Results
2022-06-11,6.656302911368607,6.80437637549795,3.038041052210632,6.469761142300799,9.783699243149071,All Results
2022-06-18,6.407392287749931,6.69875215686778,4.455739223728285,5.886034937182446,9.254954277202172,All Results
2022-06-25,6.818424335755163,7.2177121781219675,3.2198094428833093,6.231397556300024,10.889675270305345,All Results
2022-07-02,7.540312261880711,7.919451471635691,4.315822516865906,6.347146266753201,11.79650200457106,All Results
2022-07-09,9.487531436224664,9.282657247267704,5.080298087161966,8.258226498663921,12.266860428187332,All Results
2022-07-16,8.694269987689653,9.013793872485985,5.758972929322409,9.219803699052214,10.959759531184494,All Results
2022-07-23,9.635945099607914,9.550351810618482,6.842072021401501,9.503478290766331,11.022933039662398,All Results
2022-07-30,10.173756565623222,8.857882889406902,5.125393164811783,8.693203767961982,9.365725799186498,All Results
2022-08-06,9.878898380970458,7.900330285935948,5.278755332183917,8.48116032800392,6.994373164371485,All Results
2022-08-13,9.127360098046413,7.252818031393442,6.245069187019014,7.140479316670037,6.202618991746633,All Results
2022-08-20,8.432088112170915,6.789171054851929,5.8834208234251255,6.460795343025026,5.603003022242773,All Results
2022-08-27,7.884526935702908,6.522764971717187,6.0257327577063675,6.623400661696164,5.335351928032307,All Results
2022-09-03,6.532148834001948,5.8386493595092945,5.365236593211499,6.283808637704308,4.782551670664635,All Results
2022-09-10,6.322071720518519,5.561184611471148,6.042742334017712,5.885548183532887,4.455066756962248,All Results
2022-09-17,5.735316016225195,5.142476786077141,6.6480713756678105,4.918244537366946,4.354514510463068,All Results
2022-09-24,4.274949412335341,4.584053109698752,4.738402720899522,4.727034937085796,4.773406748261051,All Results
2022-10-01,3.6427731996149273,3.7251455637545625,6.408322126385128,2.460461372476355,3.8527612338274233,All Results
2022-10-08,4.102314470446113,3.473413204288853,5.030425041447499,2.109555777710762,3.6557517045807897,All Results
2022-10-15,3.7285895385347847,3.379504809909491,6.0567110552345635,2.1085666970860673,3.2310893314164835,All Results
2022-10-22,4.424085451674422,3.457602115529286,4.221633156269317,2.2522478016340477,3.363499712755647,All Results
2022-10-29,5.065851948813187,4.029488863003323,4.861916069042833,2.7350031459492,3.6033299470118907,All Results
2022-11-05,5.3677838551644985,4.067804421843559,4.1150880275507244,2.6006038919502683,4.466796564393704,All Results
2022-11-12,5.1400547562511925,4.16566152815288,3.217263071062295,2.3698584158494165,5.27952797809713,All Results
2022-11-19,5.308930235667362,4.598416422726083,3.947400956015529,2.694505418819662,7.3506822324953145,All Results
2022-11-26,6.7937672953768935,5.39243709162515,3.966498844075337,3.207317808063194,8.162742401484211,All Results
2022-12-03,9.47196842386964,8.582128010948434,6.650432755177235,7.050898595303196,11.042465343763563,All Results
2022-12-10,9.547551335509699,8.437218754250006,8.407031477803127,6.285863112302053,10.182915866168273,All Results
2022-12-17,10.954322589716336,9.000582166153498,8.52114638292941,7.50857896357271,9.138374538891624,All Results
2022-12-24,10.07317718189265,9.471370846540585,8.465483605488984,9.910576121808795,8.85128189669675,All Results
2022-12-31,11.132972150643061,10.895323524386345,10.268277731748736,13.001152219708578,9.129335117050656,All Results
2023-01-07,7.285913020098349,8.305608787311561,7.660540660757979,10.892750770146867,8.003067481317663,All Results
2023-01-14,5.378347846366974,6.022261096974887,5.7563168879516695,7.251596773068978,5.6216263527024255,All Results
2023-01-21,5.1178680670990335,5.701619551948993,6.517932818492939,6.7402757928473624,4.915735639999285,All Results
2023-01-28,5.733082233508087,5.810762435295668,6.939568542768418,6.829698211390246,4.524181546552441,All Results
2023-02-04,5.628329460298515,6.123274071822944,6.525815735044451,7.033921114718183,6.177258186675467,All Results
2023-02-11,5.993188236365965,6.078945073840021,4.750881194095492,6.841892929408317,6.71479513954011,All Results
2023-02-18,6.927079409044913,6.2645680248598365,5.448054849408595,5.48930257739147,7.118678383234729,All Results
2023-02-25,6.4090694488161795,5.803355626006283,5.519912023320211,4.1428930192926945,7.088008097734569,All Results
2023-03-04,5.707473540244129,5.1386066304909725,3.869826000812185,3.861193629940645,6.0942891744631975,All Results
2023-03-11,5.710906027745543,4.479448493964706,2.601963094126792,2.8159198465796518,5.722666788484588,All Results
2023-03-18,5.7806166248146305,4.70805695136177,3.446313257037504,3.0188311124701697,5.951732271796663,All Results
2023-03-25,5.380990103707981,4.399509870547926,2.8509592278121567,3.708442165349462,5.184816829088142,All Results
2023-04-01,4.278642291651939,3.4545635326203694,1.7790814289363448,2.9988548136681388,4.403155664935689,All Results
2023-04-08,3.99883594794868,2.906398528234499,1.5201604851075228,2.3852193899432343,3.4793531128439548,All Results
2023-04-15,3.2814538493444827,2.7900389961098755,1.436284140372826,2.1589920625597108,3.3246053171363124,All Results
2023-04-22,3.036672959849838,2.1699728515806083,1.093597039913477,1.7917425835325842,2.6494082544884097,All Results
2023-04-29,2.256709179014104,1.8917854926011843,1.2190076812039727,1.6867369508694998,2.22671970540359,All Results
2023-05-06,2.2997226249116185,2.0450689333761978,1.4597102124062658,1.9078794558685783,2.546883271693002,All Results
2023-05-13,2.2827866208974426,1.9581210345375488,1.241097103907209,1.7688987521496264,2.2458983317711825,All Results
2023-05-20,1.8101746350214067,1.6857019399199205,1.0683423589303622,1.5790380854694166,2.1047316466229335,All Results
2023-05-27,1.7707785793762527,1.5760421380631406,1.0878456235350114,1.4870434832600403,1.6750822844731794,All Results
2023-06-03,1.2743535931663266,1.2904678047508864,1.0,1.4230159768711803,1.577352988001421,All Results
2023-06-10,1.0864428606825127,1.138974544459972,1.0,1.2472849208234236,1.3940996275339592,All Results
2023-06-17,1.1577125056111428,1.1576956565631993,1.0360355177778522,1.2035274219865695,1.2786119124462219,All Results
2023-06-24,1.0304508583983565,1.2020161905770423,1.0405487574002878,1.3722672166715442,1.608564902061865,All Results
2023-07-01,1.181935210432578,1.3549526771246652,1.10145021336695,1.6522469883604698,1.8297070164445062,All Results
2023-07-08,1.3000765362970377,1.6183996059073165,1.3939169008285277,1.9471747381035451,1.954580180749748,All Results
2023-07-15,1.3919576082631089,1.8401128007457612,1.8035404577428613,1.97433022311029,2.6803634458869525,All Results
2023-07-22,1.6067453409583878,2.0960445644001804,1.9736436545132365,2.2629612961000367,3.3526321059049846,All Results
2023-07-29,1.8049153121741792,2.6590101682607887,2.4804085713156496,3.1959869080360344,4.2957097906090125,All Results
2023-08-05,2.279645765129258,3.231016411692223,2.712087163360411,3.8421985670595005,5.126334544066354,All Results
2023-08-12,2.876890198466879,3.914768141408433,3.3132532324388317,4.473808127664499,5.760781306271945,All Results
2023-08-19,3.8239938634282233,4.3452211695173455,3.206907850034673,5.144897009778413,6.2890596399577845,All Results
2023-08-26,4.200012204998201,4.951504893726632,3.7784783215594437,5.965815376269866,6.234570296633582,All Results
2023-09-02,5.058301597305452,5.67426718100739,4.404553096071979,6.446189945190888,6.582401360661286,All Results
2023-09-09,5.909176529096509,6.235871739049877,5.777365024951527,6.656504439777173,6.493605637312097,All Results
2023-09-16,5.334816188890035,5.574906859781553,6.289006217318851,4.77011363958222,5.8620666411990685,All Results
2023-09-23,5.133315273600783,5.33514220645688,5.981587755354234,4.329656206014256,5.581181546284304,All Results
2023-09-30,4.552475244398596,5.004424197757375,6.795150167275034,3.6330349685190177,5.186172940662691,All Results
2023-10-07,3.882982037376647,4.464927394890782,6.399845290413047,3.1860967700028398,4.762828807303334,All Results
2023-10-14,3.4342516251386823,3.811378241927873,4.471399438133333,3.1601173256288515,5.258283938091958,All Results
2023-10-21,3.583656745474113,3.8585827021046963,4.304160694509534,3.1326604504932583,5.232387647508892,All Results
2023-10-28,4.265887815539297,4.062832866194697,4.1997431838659445,3.1802929645948037,4.263795794988317,All Results
2023-10-28,4.265887815539297,4.062832866194697,4.1997431838659445,3.1802929645948037,4.263795794988317,1 Year
2023-11-04,4.535344255240757,4.309667985033757,4.715395264325913,3.2453955078210743,4.645645460179271,All Results
2023-11-04,4.535344255240757,4.309667985033757,4.715395264325913,3.2453955078210743,4.645645460179271,1 Year
2023-11-11,5.806161784189555,4.81810823487681,3.6575188277720536,3.550894548819459,5.6207210073614435,All Results
2023-11-11,5.806161784189555,4.81810823487681,3.6575188277720536,3.550894548819459,5.6207210073614435,1 Year
2023-11-18,6.629931964264177,5.234065439265072,4.406825488706284,3.635995928877021,6.083448893618835,All Results
2023-11-18,6.629931964264177,5.234065439265072,4.406825488706284,3.635995928877021,6.083448893618835,1 Year
2023-11-25,8.081834065506587,5.950532205450243,5.897046049322929,3.7114660887032924,5.4663436474107066,All Results
2023-11-25,8.081834065506587,5.950532205450243,5.897046049322929,3.7114660887032924,5.4663436474107066,1 Year
2023-12-02,10.88665060478437,7.551099470955697,6.661392265248704,5.62552455432858,6.576505699920335,All Results
2023-12-02,10.88665060478437,7.551099470955697,6.661392265248704,5.62552455432858,6.576505699920335,1 Year
2023-12-09,11.205648014161946,8.561615506511494,8.45412471196134,5.900493926472899,7.441908568356001,All Results
2023-12-09,11.205648014161946,8.561615506511494,8.45412471196134,5.900493926472899,7.441908568356001,1 Year
2023-12-16,12.163719902439876,9.73442687998244,10.418858284863823,7.2639137589631595,7.596313577823802,All Results
2023-12-16,12.163719902439876,9.73442687998244,10.418858284863823,7.2639137589631595,7.596313577823802,1 Year
2023-12-23,12.468779669890187,11.310168427509549,10.805867981458796,10.287101916739879,11.208890105427969,All Results
2023-12-23,12.468779669890187,11.310168427509549,10.805867981458796,10.287101916739879,11.208890105427969,1 Year
2023-12-30,15.06654116572685,13.492563810094513,12.929728642088524,12.98678838625147,12.334390219014516,All Results
2023-12-30,15.06654116572685,13.492563810094513,12.929728642088524,12.98678838625147,12.334390219014516,1 Year
2024-01-06,12.478817441739178,12.622427522298693,12.186705307693499,12.539754001964601,13.643099639832045,All Results
2024-01-06,12.478817441739178,12.622427522298693,12.186705307693499,12.539754001964601,13.643099639832045,1 Year
2024-01-13,11.066461228798754,10.198753364003597,9.378080346416656,10.3699923153957,9.724396029501575,All Results
2024-01-13,11.066461228798754,10.198753364003597,9.378080346416656,10.3699923153957,9.724396029501575,1 Year
2024-01-20,7.802990569179235,8.400265088455605,7.852371630062551,9.348648987773736,8.996004566259693,All Results
2024-01-20,7.802990569179235,8.400265088455605,7.852371630062551,9.348648987773736,8.996004566259693,1 Year
2024-01-27,7.119584275859155,8.195664063388824,8.393805064078222,10.953293144918169,7.97769114887497,All Results
2024-01-27,7.119584275859155,8.195664063388824,8.393805064078222,10.953293144918169,7.97769114887497,1 Year
2024-02-03,6.37041771200914,7.014415324326314,6.438385665172907,10.048914339094566,6.816338609595187,All Results
2024-02-03,6.37041771200914,7.014415324326314,6.438385665172907,10.048914339094566,6.816338609595187,1 Year
